scenario,dataset,algorithm,total_submitted,total_completed,edge_completed,cloud_completed,total_incomplete,completion_ratio,edge_execution_ratio,cloud_execution_ratio,avg_waiting_time,avg_execution_time,avg_turnaround_time,avg_wall_clock_time,makespan,throughput,avg_cost,runner_wall_clock_ms,run_file
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,44,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,Lottery,1133,1133,1133,0,0,1.0,1.0,0.0,346058.9012,1782.8474,347841.7486,347841.7486,1065500.65,0.0011,2852.5559,129,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,FCFS,1133,1133,1133,0,0,1.0,1.0,0.0,833153.2232,1521.4151,834674.6383,834674.6383,1723763.32,0.0007,2434.2642,101,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,LoadAware,1133,1133,1133,0,0,1.0,1.0,0.0,179590.106,1621.4964,181211.6024,181211.6024,451395.96,0.0025,2594.3943,132,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,109,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,93,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,Lottery,5818,5818,0,5818,0,1.0,0.0,1.0,7108037.1519,10982.927,7119020.0789,7119020.0789,16175926.04,0.0004,17572.6832,4179,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,FCFS,5818,5818,0,5818,0,1.0,0.0,1.0,122201757.4023,42106.8231,122243864.2254,122243864.2254,244977497.04,0.0,67370.917,4143,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,LoadAware,5818,5818,0,5818,0,1.0,0.0,1.0,9494714.8954,19803.2613,9514518.1566,9514518.1566,39901714.68,0.0001,31685.218,4035,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,QCLAR,5818,5818,0,5818,0,1.0,0.0,1.0,7109072.0762,11834.2306,7120906.3068,7120906.3068,16918449.74,0.0003,18934.769,4198,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,QCLAAR,5818,5818,0,5818,0,1.0,0.0,1.0,7017250.0841,11783.5243,7029033.6084,7029033.6084,15757402.24,0.0004,18853.6389,4041,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,Lottery,7315,7315,1497,5818,0,1.0,0.2046,0.7954,5789648.9985,9169.3982,5798818.3967,5798818.3967,16525122.81,0.0004,14671.0372,4152,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,FCFS,7315,7315,1497,5818,0,1.0,0.2046,0.7954,97550567.9725,33886.1667,97584454.1392,97584454.1392,244977497.05,0.0,54217.8667,4192,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,LoadAware,7315,7315,1497,5818,0,1.0,0.2046,0.7954,7627413.6783,16174.1459,7643587.8241,7643587.8241,39901714.69,0.0002,25878.6334,4105,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,QCLAR,7315,7315,1497,5818,0,1.0,0.2046,0.7954,5729227.8587,9831.3867,5739059.2454,5739059.2454,16918449.75,0.0004,15730.2187,4181,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,QCLAAR,7315,7315,1497,5818,0,1.0,0.2046,0.7954,5656197.0521,9791.0573,5665988.1094,5665988.1094,15757402.25,0.0005,15665.6917,4394,iQuantumSummary-no_stress-15-04-2026_16-11-35.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,Lottery,298,298,298,0,0,1.0,1.0,0.0,38609.3279,775.0777,39384.4056,39384.4056,108378.19,0.0027,1240.1243,163,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,FCFS,298,298,298,0,0,1.0,1.0,0.0,97840.6372,661.9993,98502.6365,98502.6365,197275.79,0.0015,1059.1989,70,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,LoadAware,298,298,298,0,0,1.0,1.0,0.0,20831.0051,715.0615,21546.0666,21546.0666,63265.35,0.0047,1144.0984,55,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,52,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,40,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,Lottery,1133,1133,1133,0,0,1.0,1.0,0.0,305810.05,1697.091,307507.141,307507.141,887977.18,0.0013,2715.3456,128,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,FCFS,1133,1133,1133,0,0,1.0,1.0,0.0,833153.2232,1521.4151,834674.6383,834674.6383,1723763.32,0.0007,2434.2642,108,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,LoadAware,1133,1133,1133,0,0,1.0,1.0,0.0,179590.106,1621.4964,181211.6024,181211.6024,451395.96,0.0025,2594.3943,103,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,118,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,94,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,Lottery,5818,5818,0,5818,0,1.0,0.0,1.0,7137180.1409,10701.8793,7147882.0201,7147882.0201,17043800.57,0.0003,17123.0068,4067,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,FCFS,5818,5818,0,5818,0,1.0,0.0,1.0,122201757.4023,42106.8231,122243864.2254,122243864.2254,244977497.04,0.0,67370.917,3998,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,LoadAware,5818,5818,0,5818,0,1.0,0.0,1.0,9494714.8954,19803.2613,9514518.1566,9514518.1566,39901714.68,0.0001,31685.218,3994,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,QCLAR,5818,5818,0,5818,0,1.0,0.0,1.0,7109072.0762,11834.2306,7120906.3068,7120906.3068,16918449.74,0.0003,18934.769,3979,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,QCLAAR,5818,5818,0,5818,0,1.0,0.0,1.0,7017250.0841,11783.5243,7029033.6084,7029033.6084,15757402.24,0.0004,18853.6389,3949,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,Lottery,7315,7315,1497,5818,0,1.0,0.2046,0.7954,5796298.3585,9117.2625,5805415.621,5805415.621,16032714.14,0.0005,14587.62,4107,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,FCFS,7315,7315,1497,5818,0,1.0,0.2046,0.7954,97550567.9725,33886.1667,97584454.1392,97584454.1392,244977497.05,0.0,54217.8667,4164,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,LoadAware,7315,7315,1497,5818,0,1.0,0.2046,0.7954,7627413.6783,16174.1459,7643587.8241,7643587.8241,39901714.69,0.0002,25878.6334,4044,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,QCLAR,7315,7315,1497,5818,0,1.0,0.2046,0.7954,5729227.8587,9831.3867,5739059.2454,5739059.2454,16918449.75,0.0004,15730.2187,4051,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv,QCLAAR,7315,7315,1497,5818,0,1.0,0.2046,0.7954,5656197.0521,9791.0573,5665988.1094,5665988.1094,15757402.25,0.0005,15665.6917,4081,iQuantumSummary-no_stress-15-04-2026_16-12-30.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,Lottery,298,298,298,0,0,1.0,1.0,0.0,34714.0264,753.6197,35467.646,35467.646,81619.04,0.0037,1205.7915,153,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,FCFS,298,298,298,0,0,1.0,1.0,0.0,97840.6372,661.9993,98502.6365,98502.6365,197275.79,0.0015,1059.1989,83,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,LoadAware,298,298,298,0,0,1.0,1.0,0.0,20831.0051,715.0615,21546.0666,21546.0666,63265.35,0.0047,1144.0984,84,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
